CC(Cl)=O,stretch,1770,1815,s,UNK,UNK,spectables,general,C=O,Acid Chlorides,
CC(Cl)=O,stretch,1785,1815,s,UNK,UNK,05 IR chart,general,C=O,Acyl Chlorides,
CC(Cl)=O,stretch,1785,1815,s,UNK,UNK,ISAT,general,C=O,acid halide,
CC(Cl)=O,stretch,1785,1815,s,UNK,UNK,ir.pdf,general,C=O,Carboxylic Acids & derivatives,
CC(F)=O,UNK,UNK,UNK,UNK,UNK,UNK,ATMOS,associate CC(Cl)=O,UNK,UNK,
CC(I)=O,UNK,UNK,UNK,UNK,UNK,UNK,ATMOS,associate CC(Cl)=O,UNK,UNK,
CC(N)=O,stretch,1630,1700,s,UNK,UNK,spectables,general,C=O,Amides,
CC(O)=O,bend,1395,1440,m,UNK,UNK,ir.pdf,general,C-O-H,Carboxylic Acids & derivatives,
CCl,stretch2,550,850,s,UNK,UNK,ISAT,principal,C-Cl,halo compound,
CCl,stretch,750,859,s,UNK,UNK,05 IR chart,principal,C-Cl,Alkyl halides,
CF,stretch,1000,1350,s,UNK,UNK,05 IR chart,principal,C-F,Alkyl halides,
CF,stretch,1000,1400,s,UNK,UNK,ISAT,principal,C-F,fluoro compound,
CI,stretch,200,500,s,UNK,UNK,05 IR chart,principal,C-I,Alkyl halides,
CI,stretch2,500,600,s,UNK,UNK,ISAT,principal,C-I,halo compound,
ClC(=O)C=C,stretch,1770,1800,s,UNK,UNK,ISAT,general,C=O,acid halide,
CN,stretch,1020,1250,m,UNK,UNK,ISAT,principal,C-N,Amines,
CN,stretch,1000,1250,m,UNK,UNK,ir.pdf,principal,C-N,Amines,
COC,stretch,1085,1150,s,UNK,UNK,ISAT/05 IR Chart,general,C-O,Ethers,
COC(=O)C,stretch,1160,1210,s,UNK,UNK,05 IR chart,general,O=C-O-C,Esters,
COC(=O)C=C,stretch,1715,1730,s,UNK,UNK,O5 IR chart/ISAT/spectables,general,C=O,Esters,
COC(=O)C=C,stretch2,1770,1780,s,UNK,UNK,ISAT,general,C=O,Esters,
COC(C)=O,stretch,1163,1210,s,UNK,UNK,ISAT,general,C-O,Esters,
COC(C)=O,stretch2,1735,1750,s,UNK,UNK,05 IR chart,general,C=O,Esters,
COC(C)=O,stretch2,1735,1750,s,UNK,UNK,ir.pdf,general,C=O,Esters,
COC(C)=O,stretch2,1735,1765,s,UNK,UNK,spectables,general,C=O,Esters,
COC=C,stretch2,1020,1075,s,UNK,UNK,ISAT,general,C-O,Ethers,
COC=C,stretch,1200,1225,s,UNK,UNK,ISAT,general,C-O,Ethers,
FC(=O)C=C,UNK,UNK,UNK,UNK,UNK,UNK,ATMOS,associate ClC(=O)C=C,UNK,UNK,
IC(=O)C=C,UNK,UNK,UNK,UNK,UNK,UNK,ATMOS,associate ClC(=O)C=C,UNK,UNK,
N=[N+]=[N-],stretch,2120,2160,s,UNK,UNK,ISAT,general,N=N=N,azide,
N=C=C,stretch,2000,2000,m,UNK,UNK,ISAT,general,C=C=N,ketenimine,
N=C=N,stretch,2120,2145,s,UNK,UNK,ISAT,general,N=C=N,carbodiimide,
N=C=O,stretch,2250,2275,s,UNK,broad,ISAT,general,N=C=O,isocyanate,
N=C=S,stretch,1990,2140,s,UNK,UNK,ISAT,general,N=C=S,isothiocyanate,
NO,stretch,1200,1300,m,UNK,UNK,ir.pdf,principal,N-O,aliphatic,
O=C=O,stretch,2349,2349,s,UNK,UNK,ISAT,principal,O=C=O,Carbon Dioxide,
O=C1CCC1,stretch,1770,1780,s,UNK,UNK,05 IR chart,general,C=O,Ketones,
O=C1CCCC1,stretch,1705,1725,s,UNK,UNK,ISAT,general,C=O,Ketones,
O=C1CCCC1,stretch3,1745,1745,s,UNK,UNK,ISAT,general,C=O,cyclopentanone,
O=C1CCCC1,stretch3,1740,1755,s,UNK,UNK,05 IR chart,general,C=O,lactone,
O=C1CCCC1,stretch2,1770,1770,s,UNK,UNK,ISAT,general,C=O,Ketones,
O=C1CCCN1,stretch,1700,1750,s,UNK,UNK,ISAT,general,C=O,lactam,
O=C1CCN1,stretch,1730,1760,s,UNK,UNK,ISAT,general,C=O,lactam,
OC(=O)C,stretch2,1040,1100,s,UNK,UNK,ir.pdf,general,O-C,Carboxylic Acids & derivatives,
OC(=O)C,stretch,1000,1300,s,UNK,UNK,ir.pdf,general,O-C,Carboxylic Acids & derivatives,
OC(=O)C,stretch3,1210,1320,m-s,UNK,UNK,ir.pdf,general,O-C,Carboxylic Acids & derivatives,
P[H],bend,950,1250,w,UNK,UNK,ir.pdf,principal,P-H,phosphine,
P[H],stretch,2280,2440,m,UNK,sharp,ir.pdf,principal,P-H,phosphine,
P=O,stretch,1100,1200,s,UNK,UNK,ir.pdf,principal,P=O,phosphate/phosphine oxide,
P=O,stretch3,1230,1260,s,UNK,UNK,ir.pdf,principal,P=O,phosphonate,
P=O,stretch2,1200,1275,s,UNK,UNK,ir.pdf,principal,P=O,phosphoramide,
